5,39 15,63 154
5,39 33,33 154
11,5 5,39 164
11,75 11,99 216
11,99 43,127 608
11,5 31,15 234
11,75 41,77 168
11,99 39,103 160
15,63 11,75 112
15,63 29,63 46
29,63 41,77 74
29,63 57,67 112
31,15 33,33 72
31,15 67,19 320
33,33 29,63 266
33,33 57,29 112
39,103 43,127 160
39,103 61,99 106
41,77 39,103 68
41,77 61,87 114
43,127 57,125 144
57,29 57,67 282
57,67 61,87 88
57,29 83,43 196
57,67 77,55 72
57,125 77,135 138
61,87 61,99 44
61,99 57,125 158
61,87 85,79 176
61,99 81,101 82
67,19 57,29 36
67,19 85,19 194
77,55 85,79 140
77,55 101,59 120
77,135 99,137 92
81,101 77,135 210
81,101 101,107 138
83,43 77,55 50
83,43 105,29 104
85,19 83,43 106
85,79 81,101 122
85,19 107,7 234
85,79 111,89 196
99,137 123,125 196
101,59 111,89 212
101,107 99,137 160
101,59 131,55 126
101,107 137,109 214
105,29 101,59 198
105,29 133,39 210
107,7 105,29 116
107,7 133,39 414
111,89 101,107 128
111,89 125,77 86
123,125 0,999999 157
125,77 137,109 188
131,55 125,77 164
133,39 131,55 142
137,109 123,125 98
999999,0 11,5 29
